Product_ID,Category,Product_Name,Sub_Category
FUR-BO-10001798,Furniture,Bush Somerset Collection Bookcase,Bookcases
FUR-CH-10000454,Furniture,Hon Deluxe Fabric Upholstered Stacking Chairs  Rounded Back,Chairs
OFF-LA-10000240,Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal,Labels
FUR-TA-10000577,Furniture,Bretford CR4500 Series Slim Rectangular Table,Tables
OFF-ST-10000760,Office Supplies,Eldon Fold N Roll Cart System,Storage
FUR-FU-10001487,Furniture,Eldon Expressions Wood and Plastic Desk Accessories  Cherry Wood,Furnishings
OFF-AR-10002833,Office Supplies,Newell 322,Art
TEC-PH-10002275,Technology,Mitel 5320 IP Phone VoIP phone,Phones
OFF-BI-10003910,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,Binders
OFF-AP-10002892,Office Supplies,Belkin F5C206VTEL 6 Outlet Surge,Appliances
FUR-TA-10001539,Furniture,Chromcraft Rectangular Conference Tables,Tables
TEC-PH-10002033,Technology,Konftel 250 Conference phone  Charcoal black,Phones
OFF-PA-10002365,Office Supplies,Xerox 1967,Paper
OFF-BI-10003656,Office Supplies,Fellowes PB200 Plastic Comb Binding Machine,Binders
OFF-AP-10002311,Office Supplies,Holmes Replacement Filter for HEPA Air Cleaner  Very Large Room  HEPA Filter,Appliances
OFF-BI-10000756,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,Binders
OFF-ST-10004186,Office Supplies,Stur-D-Stor Shelving  Vertical 5-Shelf: 72H x 36W x 18 1/2D,Storage
OFF-ST-10000107,Office Supplies,Fellowes Super Stor/Drawer,Storage
OFF-AR-10003056,Office Supplies,Newell 341,Art
TEC-PH-10001949,Technology,Cisco SPA 501G IP Phone,Phones
OFF-BI-10002215,Office Supplies,Wilson Jones Hanging View Binder  White  1,Binders
OFF-AR-10000246,Office Supplies,Newell 318,Art
OFF-AP-10001492,Office Supplies,Acco Six-Outlet Power Strip  4 Cord Length,Appliances
FUR-CH-10002774,Furniture,Global Deluxe Stacking Chair  Gray,Chairs
OFF-BI-10001634,Office Supplies,Wilson Jones Active Use Binders,Binders
TEC-AC-10003027,Technology,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Accessories
FUR-BO-10004834,Furniture,Riverside Palais Royal Lawyers Bookcase  Royale Cherry Finish,Bookcases
OFF-BI-10000474,Office Supplies,Avery Recycled Flexi-View Covers for Binding Systems,Binders
FUR-FU-10004848,Furniture,Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock,Furnishings
OFF-EN-10001509,Office Supplies,Poly String Tie Envelopes,Envelopes
OFF-AR-10004042,Office Supplies,BOSTON Model 1800 Electric Pencil Sharpeners  Putty/Woodgrain,Art
OFF-BI-10001525,Office Supplies,Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Executive Red,Binders
OFF-AR-10001683,Office Supplies,Lumber Crayons,Art
OFF-PA-10000249,Office Supplies,Easy-staple paper,Paper
TEC-PH-10004977,Technology,GE 30524EE4,Phones
FUR-FU-10003664,Furniture,Electrix Architects Clamp-On Swing Arm Lamp  Black,Furnishings
OFF-EN-10002986,Office Supplies,#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes,Envelopes
FUR-BO-10002545,Furniture,Atlantic Metals Mobile 3-Shelf Bookcases  Custom Colors,Bookcases
FUR-CH-10004218,Furniture,Global Fabric Managers Chair  Dark Gray,Chairs
TEC-PH-10000486,Technology,Plantronics HL10 Handset Lifter,Phones
TEC-PH-10004093,Technology,Panasonic Kx-TS550,Phones
OFF-ST-10003479,Office Supplies,Eldon Base for stackable storage shelf  platinum,Storage
OFF-ST-10003282,Office Supplies,Advantus 10-Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers,Storage
TEC-AC-10000171,Technology,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  25/Pack,Accessories
OFF-BI-10003291,Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings,Binders
OFF-ST-10001713,Office Supplies,Gould Plastics 9-Pocket Panel Bin  18-3/8w x 5-1/4d x 20-1/2h  Black,Storage
TEC-AC-10002167,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Accessories
TEC-PH-10003988,Technology,LF Elite 3D Dazzle Designer Hard Case Cover  Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite,Phones
